Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged | Missing
   77 | 0.5432203390 | -0.0021186441 | 0.5406779661 | -0.0021186441 | 0      | 0.5432203390 | -0.0021186441 | 0.5406779661 | -0.0021186441 | 0      | NO        | NO
   78 | 0.5421610169 | -0.0021186441 | 0.5396186441 | -0.0021186441 | 0      | 0.5421610169 | -0.0021186441 | 0.5396186441 | -0.0021186441 | 0      | NO        | NO
   79 | 0.5411016949 | -0.0021186441 | 0.5385593220 | -0.0021186441 | 0      | 0.5411016949 | -0.0021186441 | 0.5385593220 | -0.0021186441 | 0      | NO        | NO
   80 | 0.5400423729 | -0.0021186441 | 0.5375000000 | -0.0021186441 | 0      | 0.5400423729 | -0.0021186441 | 0.5375000000 | -0.0021186441 | 0      | NO        | NO
   81 | 0.5389830508 | -0.0021186441 | 0.5364406780 | -0.0021186441 | 0      | 0.5389830508 | -0.0021186441 | 0.5364406780 | -0.0021186441 | 0      | NO        | NO
   82 | 0.5379237288 | -0.0021186441 | 0.5353813559 | -0.0021186441 | 0      | 0.5379237288 | -0.0021186441 | 0.5353813559 | -0.0021186441 | 0      | NO        | NO
   83 | 0.5368644068 | -0.0021186441 | 0.5343220339 | -0.0021186441 | 0      | 0.5368644068 | -0.0021186441 | 0.5343220339 | -0.0021186441 | 0      | NO        | NO
   84 | 0.5358050847 | -0.0021186441 | 0.5332627119 | -0.0021186441 | 0      | 0.5358050847 | -0.0021186441 | 0.5332627119 | -0.0021186441 | 0      | NO        | NO
   85 | 0.5347457627 | -0.0021186441 | 0.5322033898 | -0.0021186441 | 0      | 0.5347457627 | -0.0021186441 | 0.5322033898 | -0.0021186441 | 0      | NO        | NO
   86 | 0.5336864407 | -0.0021186441 | 0.5311440678 | -0.0021186441 | 0      | 0.5336864407 | -0.0021186441 | 0.5311440678 | -0.0021186441 | 0      | NO        | NO
   87 | 0.5326271186 | -0.0021186441 | 0.5300847458 | -0.0021186441 | 0      | 0.5326271186 | -0.0021186441 | 0.5300847458 | -0.0021186441 | 0      | NO        | NO
   88 | 0.5315677966 | -0.0021186441 | 0.5290254237 | -0.0021186441 | 0      | 0.5315677966 | -0.0021186441 | 0.5290254237 | -0.0021186441 | 0      | NO        | NO
   89 | (BF only - QT missing)
   90 | 0.5308976301 | -0.0018772311 | 0.5287397406 | 0.0015395749 | 0      | 0.5308976301 | -0.0018772311 | 0.5287397406 | 0.0015395749 | 0      | NO        | NO
   91 | (BF only - QT missing)
   92 | 0.5344020374 | 0.0019539740 | 0.5312439634 | 0.0034688706 | 0      | 0.5344020374 | 0.0019539740 | 0.5312439634 | 0.0034688706 | 0      | NO        | NO
   93 | 0.5353790244 | 0.0019539740 | 0.5329783987 | 0.0034688706 | 0      | 0.5353790244 | 0.0019539740 | 0.5329783987 | 0.0034688706 | 0      | NO        | NO
   94 | 0.5363560113 | 0.0019539740 | 0.5363781067 | 0.0067994160 | 0      | 0.5363560113 | 0.0019539740 | 0.5363781067 | 0.0067994160 | 0      | NO        | NO
   95 | 0.5373329983 | 0.0019539740 | 0.5397778147 | 0.0067994160 | 0      | 0.5373329983 | 0.0019539740 | 0.5397778147 | 0.0067994160 | 0      | NO        | NO
   96 | 0.5414192376 | 0.0081724785 | 0.5431775227 | 0.0067994160 | 0      | 0.5382672583 | 0.0018685200 | 0.5431775227 | 0.0067994160 | 0      | YES       | NO
   97 | 0.5455054768 | 0.0081724785 | 0.5465772307 | 0.0067994160 | 0      | 0.5415654012 | 0.0065962857 | 0.5465772307 | 0.0067994160 | 0      | YES       | NO
   98 | 0.5495917161 | 0.0081724785 | 0.5499769387 | 0.0067994160 | 1      | 0.5448635440 | 0.0065962857 | 0.5499769387 | 0.0067994160 | 0      | YES       | NO
   99 | 0.5528041883 | 0.0064249444 | 0.5538759422 | 0.0077980069 | 0      | 0.5481616868 | 0.0065962857 | 0.5533766467 | 0.0067994160 | 0      | YES       | NO
  100 | 0.5560166605 | 0.0064249444 | 0.5564372225 | 0.0051225606 | 1      | 0.5514598296 | 0.0065962857 | 0.5559194346 | 0.0050855758 | 0      | YES       | NO
