Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged
   77 | 0.5355932203 | -0.0021186441 | 0.5351694915 | -0.0021186441 |      0 | 0.5355932203 | -0.0021186441 | 0.5351694915 | -0.0021186441 |      0 | NO
   78 | 0.5345338983 | -0.0021186441 | 0.5341101695 | -0.0021186441 |      0 | 0.5345338983 | -0.0021186441 | 0.5341101695 | -0.0021186441 |      0 | NO
   79 | 0.5334745763 | -0.0021186441 | 0.5330508475 | -0.0021186441 |      0 | 0.5334745763 | -0.0021186441 | 0.5330508475 | -0.0021186441 |      0 | NO
   80 | 0.5324152542 | -0.0021186441 | 0.5319915254 | -0.0021186441 |      0 | 0.5324152542 | -0.0021186441 | 0.5319915254 | -0.0021186441 |      0 | NO
   81 | 0.5313559322 | -0.0021186441 | 0.5309322034 | -0.0021186441 |      0 | 0.5313559322 | -0.0021186441 | 0.5309322034 | -0.0021186441 |      0 | NO
   82 | 0.5302966102 | -0.0021186441 | 0.5298728814 | -0.0021186441 |      0 | 0.5302966102 | -0.0021186441 | 0.5298728814 | -0.0021186441 |      0 | NO
   83 | 0.5292372881 | -0.0021186441 | 0.5288135593 | -0.0021186441 |      0 | 0.5292372881 | -0.0021186441 | 0.5288135593 | -0.0021186441 |      0 | NO
   84 | 0.5281779661 | -0.0021186441 | 0.5277542373 | -0.0021186441 |      0 | 0.5281779661 | -0.0021186441 | 0.5277542373 | -0.0021186441 |      0 | NO
   85 | 0.5271186441 | -0.0021186441 | 0.5266949153 | -0.0021186441 |      0 | 0.5271186441 | -0.0021186441 | 0.5266949153 | -0.0021186441 |      0 | NO
   86 | 0.5260593220 | -0.0021186441 | 0.5256355932 | -0.0021186441 |      0 | 0.5260593220 | -0.0021186441 | 0.5256355932 | -0.0021186441 |      0 | NO
   87 | 0.5250000000 | -0.0021186441 | 0.5245762712 | -0.0021186441 |      0 | 0.5250000000 | -0.0021186441 | 0.5245762712 | -0.0021186441 |      0 | NO
   88 | 0.5241479610 | -0.0017040779 | 0.5235577776 | -0.0020369871 |      0 | 0.5241479610 | -0.0017040779 | 0.5235577776 | -0.0020369871 |      0 | NO
   90 | 0.5239456480 | -0.0021050131 | 0.5252171048 | -0.0019351863 |      0 | 0.5239456480 | -0.0021050131 | 0.5220813320 | -0.0018860761 |      0 | YES
   92 | 0.5243776490 | 0.0012260628 | 0.5231594785 | -0.0018878618 |      0 | 0.5237762607 | -0.0015052375 | 0.5212473214 | -0.0006012060 |      0 | YES
   93 | 0.5250744582 | 0.0013936183 | 0.5236877233 | 0.0010564896 |      0 | 0.5261800155 | 0.0048075095 | 0.5237688124 | 0.0050429818 |      0 | YES
   94 | 0.5257712674 | 0.0013936183 | 0.5260062208 | 0.0046369948 |      0 | 0.5268704233 | 0.0013808157 | 0.5231917941 | -0.0011540365 |      0 | YES
   95 | 0.5262499700 | 0.0009574052 | 0.5261823507 | 0.0003522598 |      0 | 0.5268884553 | 0.0000360640 | 0.5246766168 | 0.0029696455 |      0 | YES
   96 | 0.5286311000 | 0.0047622600 | 0.5267829968 | 0.0012012923 |      0 | 0.5275314278 | 0.0012859450 | 0.5244965674 | -0.0003600989 |      0 | YES
   97 | 0.5305471045 | 0.0038320091 | 0.5273836430 | 0.0012012923 |      0 | 0.5275148012 | -0.0000332532 | 0.5243165179 | -0.0003600989 |      0 | YES
   98 | 0.5324631091 | 0.0038320091 | 0.5279842891 | 0.0012012923 |      0 | 0.5293841041 | 0.0037386057 | 0.5260948674 | 0.0035566989 |      0 | YES
   99 | 0.5336622681 | 0.0023983180 | 0.5305340845 | 0.0050995907 |      0 | 0.5300905191 | 0.0014128300 | 0.5289743279 | 0.0057589211 |      1 | YES

First divergence at frame 90
